Id,Description,Amount,Date,Owner
1,Comida,957,2018-08-27,Mad Max
2,Musica,1479,2018-03-27,Jacceline Broom
3,Musica,1332,2018-06-27,Paula Lionheart
4,Comida,5241,2018-08-27,Paula Lionheart
5,Comida,4763,2018-02-27,Bert Macklin
6,Adornos,9241,2018-05-27,Mad Max
7,Comida,6800,2018-06-27,Jacceline Broom
8,Musica,3454,2018-05-27,Bert Macklin
9,Deporte,4292,2019-01-27,Jacceline Broom
10,Comida,7010,2018-04-27,Mad Max
11,Deporte,2516,2018-03-27,Jacceline Broom
12,Adornos,6002,2018-05-27,Jacceline Broom
13,Comida,7585,2018-12-27,Paula Lionheart
14,Adornos,8398,2018-05-27,Jacceline Broom
15,Adornos,6041,2018-10-27,Mad Max
16,Musica,1388,2018-03-27,Paula Lionheart
17,Comida,5312,2018-07-27,Paula Lionheart
18,Musica,4881,2018-08-27,Mad Max
19,Deporte,3264,2018-03-27,Bert Macklin
20,Comida,1517,2018-09-27,Jacceline Broom
21,Deporte,5074,2018-05-27,Mad Max
22,Comida,1276,2018-07-27,Paula Lionheart
23,Adornos,215,2018-10-27,Bert Macklin
24,Musica,6190,2018-07-27,Paula Lionheart
25,Comida,2938,2019-01-27,Jacceline Broom
26,Comida,9486,2018-12-27,Mad Max
27,Musica,4668,2018-02-27,Jacceline Broom
28,Musica,7535,2018-09-27,Jacceline Broom
29,Comida,6064,2018-03-27,Bert Macklin
30,Musica,5463,2019-01-27,Paula Lionheart
31,Musica,1915,2019-01-27,Bert Macklin
32,Musica,9653,2018-08-27,Paula Lionheart
33,Comida,2459,2018-10-27,Mad Max
34,Adornos,2856,2018-05-27,Mad Max
35,Adornos,8852,2018-08-27,Paula Lionheart
36,Comida,8991,2018-11-27,Jacceline Broom
37,Deporte,1626,2018-04-27,Mad Max
38,Adornos,772,2018-08-27,Jacceline Broom
39,Adornos,3418,2019-01-27,Paula Lionheart
40,Comida,9734,2018-10-27,Mad Max
41,Musica,2543,2019-01-27,Bert Macklin
42,Comida,8615,2018-07-27,Mad Max
43,Adornos,1656,2018-06-27,Mad Max
44,Comida,9828,2019-01-27,Jacceline Broom
45,Adornos,2827,2018-12-27,Mad Max
46,Musica,4440,2018-10-27,Jacceline Broom
47,Adornos,219,2018-06-27,Paula Lionheart
48,Musica,2211,2018-02-27,Jacceline Broom
49,Musica,4537,2018-02-27,Mad Max
50,Adornos,9997,2018-10-27,Bert Macklin
51,Adornos,7101,2018-04-27,Jacceline Broom
52,Musica,6091,2018-08-27,Mad Max
53,Musica,1757,2019-01-27,Paula Lionheart
54,Musica,277,2018-04-27,Paula Lionheart
55,Comida,7121,2018-07-27,Paula Lionheart
56,Comida,4513,2018-06-27,Paula Lionheart
57,Adornos,4424,2018-05-27,Jacceline Broom
58,Adornos,8952,2018-07-27,Paula Lionheart
59,Deporte,5717,2018-04-27,Mad Max
60,Deporte,1092,2018-11-27,Jacceline Broom
61,Comida,4331,2018-08-27,Bert Macklin
62,Adornos,8916,2018-10-27,Mad Max
63,Musica,7509,2018-03-27,Paula Lionheart
64,Musica,2826,2018-11-27,Paula Lionheart
65,Comida,7071,2018-04-27,Jacceline Broom
66,Deporte,8521,2018-11-27,Paula Lionheart
67,Comida,3857,2018-10-27,Jacceline Broom
68,Deporte,3263,2018-05-27,Mad Max
69,Adornos,6168,2018-03-27,Bert Macklin
70,Musica,2117,2018-04-27,Paula Lionheart
71,Adornos,4099,2018-10-27,Bert Macklin
72,Deporte,674,2018-10-27,Mad Max
73,Adornos,3340,2019-01-27,Paula Lionheart
74,Comida,7583,2018-08-27,Paula Lionheart
75,Musica,6481,2018-05-27,Jacceline Broom
76,Musica,6663,2018-03-27,Jacceline Broom
77,Musica,647,2018-08-27,Mad Max
78,Deporte,7661,2018-02-27,Jacceline Broom
79,Adornos,2860,2018-04-27,Jacceline Broom
80,Adornos,678,2019-01-27,Jacceline Broom
81,Musica,9082,2018-03-27,Mad Max
82,Deporte,7984,2018-07-27,Jacceline Broom
83,Deporte,2312,2018-05-27,Paula Lionheart
84,Deporte,3680,2018-08-27,Bert Macklin
85,Deporte,9234,2018-04-27,Paula Lionheart
86,Adornos,8808,2018-08-27,Jacceline Broom
87,Musica,9307,2019-01-27,Paula Lionheart
88,Musica,8589,2018-07-27,Mad Max
89,Comida,7601,2018-08-27,Mad Max
90,Adornos,4334,2018-07-27,Mad Max
91,Musica,978,2018-02-27,Jacceline Broom
92,Adornos,199,2018-12-27,Bert Macklin
93,Adornos,5380,2018-07-27,Paula Lionheart
94,Deporte,4638,2018-11-27,Bert Macklin
95,Adornos,7478,2018-07-27,Mad Max
96,Musica,185,2018-02-27,Jacceline Broom
97,Comida,3495,2018-08-27,Jacceline Broom
98,Adornos,5987,2018-09-27,Bert Macklin
99,Adornos,3315,2018-11-27,Mad Max
100,Comida,3547,2018-09-27,Paula Lionheart
101,Deporte,9209,2019-01-27,Bert Macklin
102,Comida,3564,2019-01-27,Mad Max
103,Deporte,778,2018-04-27,Paula Lionheart
104,Musica,9468,2018-03-27,Paula Lionheart
105,Adornos,9675,2018-07-27,Mad Max
106,Musica,2084,2018-10-27,Bert Macklin
107,Adornos,3852,2018-04-27,Jacceline Broom
108,Comida,3007,2018-11-27,Bert Macklin
109,Comida,6466,2018-09-27,Jacceline Broom
110,Deporte,9417,2019-01-27,Mad Max
111,Adornos,5805,2018-03-27,Bert Macklin
112,Adornos,1503,2018-02-27,Paula Lionheart
113,Adornos,7150,2018-07-27,Jacceline Broom
114,Comida,8288,2018-11-27,Bert Macklin
115,Adornos,5677,2018-02-27,Paula Lionheart
116,Deporte,2316,2018-10-27,Bert Macklin
117,Deporte,8543,2018-09-27,Jacceline Broom
118,Adornos,108,2018-10-27,Bert Macklin
119,Deporte,9042,2018-12-27,Mad Max
120,Musica,5167,2018-12-27,Jacceline Broom
121,Deporte,6300,2018-03-27,Bert Macklin
122,Musica,7072,2018-05-27,Paula Lionheart
123,Musica,8064,2018-09-27,Paula Lionheart
124,Deporte,5135,2018-07-27,Jacceline Broom
125,Deporte,6090,2018-02-27,Jacceline Broom
126,Deporte,7774,2018-08-27,Paula Lionheart
127,Deporte,5232,2018-12-27,Jacceline Broom
128,Deporte,841,2018-11-27,Jacceline Broom
129,Adornos,1710,2018-03-27,Mad Max
130,Musica,9308,2018-11-27,Bert Macklin
131,Deporte,6488,2019-01-27,Paula Lionheart
132,Comida,2990,2018-07-27,Jacceline Broom
133,Adornos,4285,2018-12-27,Mad Max
134,Deporte,3380,2018-06-27,Jacceline Broom
135,Deporte,8527,2018-04-27,Bert Macklin
